Time Elapsed: 10211.99s, Average test loss: 0.0005, Test accuracy: 1115/1446 (77%)
Time Elapsed: 10351.65s, Average test loss: 0.0005, Test accuracy: 1129/1446 (78%)
Time Elapsed: 10499.04s, Average test loss: 0.0005, Test accuracy: 1136/1446 (78%)
Time Elapsed: 10648.00s, Average test loss: 0.0005, Test accuracy: 1140/1446 (78%)
Time Elapsed: 10792.81s, Average test loss: 0.0005, Test accuracy: 1135/1446 (78%)
Time Elapsed: 10930.30s, Average test loss: 0.0005, Test accuracy: 1136/1446 (78%)
Time Elapsed: 11084.39s, Average test loss: 0.0005, Test accuracy: 1136/1446 (78%)
Time Elapsed: 11222.72s, Average test loss: 0.0005, Test accuracy: 1142/1446 (78%)
Time Elapsed: 11367.87s, Average test loss: 0.0005, Test accuracy: 1145/1446 (79%)
Time Elapsed: 11515.36s, Average test loss: 0.0005, Test accuracy: 1142/1446 (78%)
Time Elapsed: 11656.07s, Average test loss: 0.0005, Test accuracy: 1147/1446 (79%)
Time Elapsed: 11802.42s, Average test loss: 0.0005, Test accuracy: 1130/1446 (78%)
Time Elapsed: 11939.87s, Average test loss: 0.0005, Test accuracy: 1148/1446 (79%)
Time Elapsed: 12084.86s, Average test loss: 0.0005, Test accuracy: 1134/1446 (78%)
Time Elapsed: 12233.67s, Average test loss: 0.0005, Test accuracy: 1147/1446 (79%)
Time Elapsed: 12382.34s, Average test loss: 0.0005, Test accuracy: 1147/1446 (79%)
Time Elapsed: 12522.77s, Average test loss: 0.0005, Test accuracy: 1145/1446 (79%)
Time Elapsed: 12668.88s, Average test loss: 0.0005, Test accuracy: 1152/1446 (79%)
Time Elapsed: 12804.79s, Average test loss: 0.0005, Test accuracy: 1153/1446 (79%)
Time Elapsed: 12960.34s, Average test loss: 0.0004, Test accuracy: 1160/1446 (80%)
Time Elapsed: 13095.61s, Average test loss: 0.0004, Test accuracy: 1157/1446 (80%)
Time Elapsed: 13247.97s, Average test loss: 0.0004, Test accuracy: 1152/1446 (79%)
Time Elapsed: 13383.38s, Average test loss: 0.0004, Test accuracy: 1160/1446 (80%)
Time Elapsed: 13537.25s, Average test loss: 0.0004, Test accuracy: 1166/1446 (80%)
