Time Elapsed: 140661.16s, Average test loss: 0.0037, Test accuracy: 1174/1446 (81%)
Time Elapsed: 142767.77s, Average test loss: 0.0039, Test accuracy: 1224/1446 (84%)
Time Elapsed: 144875.68s, Average test loss: 0.0037, Test accuracy: 1228/1446 (84%)
Time Elapsed: 146985.30s, Average test loss: 0.0041, Test accuracy: 1210/1446 (83%)
Time Elapsed: 149085.80s, Average test loss: 0.0038, Test accuracy: 1200/1446 (82%)
Time Elapsed: 151191.13s, Average test loss: 0.0030, Test accuracy: 1205/1446 (83%)
Time Elapsed: 153311.09s, Average test loss: 0.0046, Test accuracy: 1195/1446 (82%)
Time Elapsed: 155415.21s, Average test loss: 0.0032, Test accuracy: 1222/1446 (84%)
Time Elapsed: 157512.19s, Average test loss: 0.0037, Test accuracy: 1221/1446 (84%)
Time Elapsed: 159633.21s, Average test loss: 0.0036, Test accuracy: 1234/1446 (85%)
Time Elapsed: 161741.08s, Average test loss: 0.0042, Test accuracy: 1209/1446 (83%)
Time Elapsed: 163843.80s, Average test loss: 0.0051, Test accuracy: 1221/1446 (84%)
Time Elapsed: 165964.91s, Average test loss: 0.0043, Test accuracy: 1182/1446 (81%)
Time Elapsed: 168078.12s, Average test loss: 0.0037, Test accuracy: 1216/1446 (84%)
Time Elapsed: 170177.75s, Average test loss: 0.0041, Test accuracy: 1213/1446 (83%)
Time Elapsed: 172285.58s, Average test loss: 0.0043, Test accuracy: 1210/1446 (83%)
Time Elapsed: 174394.10s, Average test loss: 0.0037, Test accuracy: 1213/1446 (83%)
Time Elapsed: 176496.70s, Average test loss: 0.0034, Test accuracy: 1232/1446 (85%)
Time Elapsed: 178624.58s, Average test loss: 0.0039, Test accuracy: 1224/1446 (84%)
Time Elapsed: 180744.52s, Average test loss: 0.0055, Test accuracy: 1188/1446 (82%)
Time Elapsed: 182841.73s, Average test loss: 0.0032, Test accuracy: 1214/1446 (83%)
Time Elapsed: 184946.98s, Average test loss: 0.0033, Test accuracy: 1214/1446 (83%)
Time Elapsed: 187039.96s, Average test loss: 0.0037, Test accuracy: 1220/1446 (84%)
Time Elapsed: 189120.93s, Average test loss: 0.0055, Test accuracy: 1180/1446 (81%)
Time Elapsed: 191216.16s, Average test loss: 0.0055, Test accuracy: 1215/1446 (84%)
Time Elapsed: 193303.98s, Average test loss: 0.0039, Test accuracy: 1234/1446 (85%)
Time Elapsed: 195395.44s, Average test loss: 0.0035, Test accuracy: 1202/1446 (83%)
Time Elapsed: 197483.72s, Average test loss: 0.0048, Test accuracy: 1188/1446 (82%)
Time Elapsed: 199560.24s, Average test loss: 0.0041, Test accuracy: 1231/1446 (85%)
Time Elapsed: 201661.15s, Average test loss: 0.0039, Test accuracy: 1212/1446 (83%)
Time Elapsed: 203752.97s, Average test loss: 0.0037, Test accuracy: 1216/1446 (84%)
Time Elapsed: 205829.84s, Average test loss: 0.0038, Test accuracy: 1205/1446 (83%)
